epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1522.43,0.60832,1.14679,0.62257,0.98031,0,0.90633,0.90426,0.95461,0.8067,0.90497,0.90236,0.95065,0.7617,0.61848,1.27629,0.6823,0.98603,0,0.0007327,0.0007327,0.0007327
29,1577.21,0.60491,1.16397,0.62698,0.98042,0,0.92126,0.88787,0.95389,0.809,0.91655,0.89012,0.95264,0.76238,0.61365,1.16864,0.70124,0.97943,0,0.0007228,0.0007228,0.0007228
30,1631.52,0.60618,1.18124,0.62495,0.98345,0,0.91372,0.89994,0.95808,0.81892,0.91356,0.89982,0.95659,0.76302,0.60645,1.19666,0.65238,0.97833,0,0.0007129,0.0007129,0.0007129
31,1685.98,0.60395,1.1703,0.61514,0.98118,0,0.90368,0.89584,0.95058,0.81075,0.90536,0.89721,0.95105,0.76511,0.60371,1.16197,0.67773,0.97171,0,0.000703,0.000703,0.000703
32,1740.11,0.5956,1.14918,0.60709,0.97623,0,0.90914,0.88715,0.95361,0.81164,0.90913,0.88347,0.95097,0.76711,0.60326,1.18125,0.69994,0.98096,0,0.0006931,0.0006931,0.0006931
33,1794.22,0.58909,1.14273,0.60187,0.9748,0,0.91472,0.90057,0.95823,0.81739,0.91514,0.90061,0.95752,0.77103,0.6042,1.13591,0.6614,0.98231,0,0.0006832,0.0006832,0.0006832
34,1848.19,0.59302,1.14792,0.59656,0.97296,0,0.90416,0.89333,0.95367,0.81896,0.91392,0.89,0.95277,0.77413,0.6038,1.15904,0.65641,0.98285,0,0.0006733,0.0006733,0.0006733
35,1902.18,0.58871,1.14198,0.58783,0.97269,0,0.9146,0.8968,0.95504,0.8229,0.91507,0.89723,0.95322,0.77239,0.58642,1.19755,0.66883,0.96432,0,0.0006634,0.0006634,0.0006634
36,1956.57,0.5914,1.14521,0.59387,0.97386,0,0.90559,0.90047,0.95111,0.81574,0.90509,0.89887,0.94745,0.76349,0.61741,1.16815,0.69174,0.99544,0,0.0006535,0.0006535,0.0006535
37,2009.7,0.59933,1.14749,0.60765,0.9802,0,0.91118,0.90588,0.95882,0.82139,0.90944,0.90359,0.95613,0.77161,0.58416,1.15225,0.61669,0.95941,0,0.0006436,0.0006436,0.0006436
38,2062.69,0.58092,1.1215,0.58031,0.96741,0,0.90018,0.89563,0.94992,0.81971,0.90504,0.89027,0.94692,0.7729,0.58578,1.14023,0.70997,0.96132,0,0.0006337,0.0006337,0.0006337
