epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3092.98,0.55301,1.03287,0.50688,0.94461,0,0.91993,0.90618,0.95471,0.85612,0.91988,0.90813,0.95524,0.81398,0.46914,0.91978,0.41527,0.8613,0,0.0007327,0.0007327,0.0007327
29,3199.45,0.55173,1.02584,0.50433,0.94495,0,0.90859,0.91389,0.95755,0.85691,0.91322,0.91086,0.95875,0.81405,0.46574,0.91084,0.42059,0.86197,0,0.0007228,0.0007228,0.0007228
30,3304.62,0.54872,1.02485,0.50393,0.94403,0,0.88616,0.90867,0.94981,0.85161,0.8868,0.90936,0.9498,0.79348,0.47202,1.00468,0.43831,0.85707,0,0.0007129,0.0007129,0.0007129
31,3410.78,0.54722,1.02321,0.50098,0.94293,0,0.91534,0.91458,0.95469,0.85844,0.91556,0.91537,0.95432,0.81858,0.45416,0.89782,0.39919,0.86206,0,0.000703,0.000703,0.000703
32,3519.58,0.54062,1.01312,0.4954,0.93956,0,0.91298,0.92902,0.96005,0.86456,0.91437,0.93009,0.96192,0.82423,0.46765,0.89864,0.39833,0.86891,0,0.0006931,0.0006931,0.0006931
33,3626.11,0.53792,1.00141,0.48447,0.93728,0,0.91155,0.93028,0.96351,0.87396,0.91207,0.93084,0.9642,0.83279,0.44492,0.85979,0.37871,0.85365,0,0.0006832,0.0006832,0.0006832
34,3732.84,0.53407,0.9991,0.4867,0.93954,0,0.9209,0.91733,0.96054,0.87008,0.92333,0.91981,0.96233,0.8282,0.45201,0.87001,0.39642,0.86462,0,0.0006733,0.0006733,0.0006733
35,3840.02,0.5303,0.98443,0.47685,0.93599,0,0.91093,0.92207,0.95848,0.876,0.91354,0.92455,0.95961,0.83721,0.43644,0.85688,0.38181,0.84814,0,0.0006634,0.0006634,0.0006634
36,3946.66,0.53347,0.99486,0.4802,0.93639,0,0.89498,0.92708,0.95881,0.87381,0.89638,0.92849,0.95912,0.83564,0.42866,0.86279,0.38787,0.84199,0,0.0006535,0.0006535,0.0006535
37,4053.09,0.52857,0.97926,0.4747,0.93378,0,0.92503,0.93071,0.96422,0.88313,0.92707,0.93265,0.96515,0.83527,0.41641,0.87375,0.36765,0.83518,0,0.0006436,0.0006436,0.0006436
